user_id,course_id,course_name,instructor,course_duration_hours,certification_offered,difficulty_level,rating,enrollment_numbers,course_price,feedback_score,study_material_available,time_spent_hours,previous_courses_taken
15796,9366,Python for Beginners,Emma Harris,39.1,Yes,Beginner,5,21600,317.5,0.797,Yes,17.6,4
861,1928,Cybersecurity for Professionals,Alexander Young,36.3,Yes,Beginner,4.3,15379,40.99,0.77,Yes,28.97,9
38159,9541,DevOps and Continuous Deployment,Dr. Mia Walker,13.4,Yes,Beginner,3.9,6431,380.81,0.772,Yes,52.44,4
44733,3708,Project Management Fundamentals,Benjamin Lewis,58.3,Yes,Beginner,3.1,48245,342.8,0.969,No,22.29,6
11285,3361,Ethical Hacking Masterclass,Daniel White,30.8,Yes,Beginner,2.8,34556,381.01,0.555,Yes,22.01,5
6266,8076,Ethical Hacking Masterclass,Dr. John Smith,76.7,Yes,Advanced,3.6,36249,250.94,0.509,Yes,5.73,6
16851,7887,Networking and System Administration,Dr. Robert Davis,44.9,Yes,Beginner,4.9,41050,389.32,0.893,Yes,15.66,3
37195,2876,Ethical Hacking Masterclass,Liam Adams,98.3,No,Beginner,4.1,33808,131.45,0.635,No,17.25,7
21963,1578,Personal Finance and Wealth Building,Benjamin Lewis,68.5,Yes,Beginner,4.7,11502,116.43,0.811,Yes,26.24,4
47192,4298,Blockchain and Decentralized Applications,Benjamin Lewis,45.7,Yes,Intermediate,4.4,25697,110.35,0.527,Yes,23.45,7
44132,6716,Graphic Design with Canva,Alexander Young,69,Yes,Beginner,4.5,3341,382.03,1,Yes,25.27,4
16024,3434,Fitness and Nutrition Coaching,Liam Adams,100,Yes,Intermediate,4.2,3532,430.23,0.78,Yes,28.73,8
41091,2425,Public Speaking Mastery,Benjamin Lewis,78.8,No,Intermediate,4.1,30597,225.97,0.796,Yes,11.27,6
1686,6209,Blockchain and Decentralized Applications,Prof. Emily Johnson,92.3,Yes,Intermediate,3.1,39258,117.02,0.881,Yes,12.53,5
770,534,Photography and Video Editing,Daniel White,74,Yes,Advanced,4.1,40437,388.7,0.62,Yes,14.13,3
2434,7616,DevOps and Continuous Deployment,Isabella Scott,56.2,Yes,Beginner,2.7,16572,100.75,0.722,Yes,34.34,5
5312,3455,Python for Beginners,Charlotte King,11.1,Yes,Beginner,4.6,43655,426,0.966,Yes,22.8,5
37820,5144,Advanced Machine Learning,Daniel White,83.7,No,Intermediate,4,30473,252.67,0.668,Yes,23.46,11
39189,3873,Game Development with Unity,Dr. Robert Davis,82.4,Yes,Intermediate,5,36424,442.55,0.636,Yes,8.89,1
